mk_ai4;Panel;LW;203;;16-bit Unsigned
mkai_temperature_TEH_condenser;Panel;LW;204;;16-bit Unsigned
mkai_temperature_TEH_air;Panel;LW;205;;16-bit Unsigned
mk_ai7;Panel;LW;206;;16-bit Unsigned
mk_ai8;Panel;LW;207;;16-bit Unsigned
mk_di1;Panel;LW;208;;16-bit Unsigned
mk_di2;Panel;LW;209;;16-bit Unsigned
mkdi_Y1_close;Panel;LW;210;;16-bit Unsigned
mkdi_Y1_open;Panel;LW;211;;16-bit Unsigned
mkdi_Y2_close;Panel;LW;212;;16-bit Unsigned
mkdi_Y2_open;Panel;LW;213;;16-bit Unsigned
mkdi_ts;Panel;LW;214;;16-bit Unsigned
mk_di8;Panel;LW;215;;16-bit Unsigned
mkdo_Y1_on;Panel;LW;216;;16-bit Unsigned
mkdo_Y2_on;Panel;LW;217;;16-bit Unsigned
mkdo_TEHair_on;Panel;LW;218;;16-bit Unsigned
mkdo_dehum_on;Panel;LW;219;;16-bit Unsigned
mkdo_pump_on;Panel;LW;220;;16-bit Unsigned
mkdo_valve_on;Panel;LW;221;;16-bit Unsigned
mkdo_M2_out;Panel;LW;222;;16-bit Unsigned
mkdo_TEHcondenser_out;Panel;LW;223;;16-bit Unsigned
mkdo_M1_out;Panel;LW;224;;16-bit Unsigned
mkao_lamp_work;Panel;LW;225;;16-bit Unsigned
mkao_lamp_alarm;Panel;LW;226;;16-bit Unsigned
mk_ao4;Panel;LW;227;;16-bit Unsigned
mk_ao5;Panel;LW;228;;16-bit Unsigned
mk_ao6;Panel;LW;229;;16-bit Unsigned
mk_ao7;Panel;LW;230;;16-bit Unsigned
mk_ao8;Panel;LW;231;;16-bit Unsigned
mkcs_M1_rpm;Panel;LW;232;;16-bit Unsigned
mkcs_M2_rpm;Panel;LW;233;;16-bit Unsigned
mk_cs3;Panel;LW;234;;16-bit Unsigned
mk_cs4;Panel;LW;235;;16-bit Unsigned
mk_cs5;Panel;LW;236;;16-bit Unsigned
mk_cs6;Panel;LW;237;;16-bit Unsigned
mk_cs7;Panel;LW;238;;16-bit Unsigned
mk_cs8;Panel;LW;239;;16-bit Unsigned
mk_res1;Panel;LW;240;;16-bit Unsigned
mk_res2;Panel;LW;241;;16-bit Unsigned
mk_res3;Panel;LW;242;;16-bit Unsigned
mk_res4;Panel;LW;243;;16-bit Unsigned
mk_res5;Panel;LW;244;;16-bit Unsigned
mk_res6;Panel;LW;245;;16-bit Unsigned
mk_res7;Panel;LW;246;;16-bit Unsigned
mk_res8;Panel;LW;247;;16-bit Unsigned
mk_PWMon1;Panel;LW;248;;16-bit Unsigned
mk_PWMon2;Panel;LW;249;;16-bit Unsigned
mk_PWMon3;Panel;LW;250;;16-bit Unsigned
mk_PWMon4;Panel;LW;251;;16-bit Unsigned
mk_PWMon5;Panel;LW;252;;16-bit Unsigned
mk_PWMon6;Panel;LW;253;;16-bit Unsigned
mk_PWMon7;Panel;LW;254;;16-bit Unsigned
mk_PWMon8;Panel;LW;255;;16-bit Unsigned
mk_PWMout1;Panel;LW;256;;16-bit Unsigned
mk_PWMout2;Panel;LW;257;;16-bit Unsigned
mk_PWMout3;Panel;LW;258;;16-bit Unsigned
mk_PWMout4;Panel;LW;259;;16-bit Unsigned
mk_PWMout5;Panel;LW;260;;16-bit Unsigned
mk_PWMout6;Panel;LW;261;;16-bit Unsigned
mk_PWMout7;Panel;LW;262;;16-bit Unsigned
mk_PWMout8;Panel;LW;263;;16-bit Unsigned
fl_concentration_H2O2;Panel;LW;300;;32-bit Float
fl_concentration_H2O2l;Panel;LW;301;;32-bit Float
fl_temperature_air;Panel;LW;302;;32-bit Float
fl_temperature_airl;Panel;LW;303;;32-bit Float
fl_humidity_air;Panel;LW;304;;32-bit Float
fl_humidity_airl;Panel;LW;305;;32-bit Float
fl_temperature_TEH_condenser;Panel;LW;306;;32-bit Float
fl_temperature_TEH_condenserl;Panel;LW;307;;32-bit Float
fl_temperature_TEH_air;Panel;LW;308;;32-bit Float
fl_temperature_TEH_airl;Panel;LW;309;;32-bit Float
